Date,Close/Last,Volume,Open,High,Low
03/18/2022,102.82,1146842,102.77,103.08,102.74
03/17/2022,102.58,980750,102.61,102.755,102.465
03/16/2022,102.52,1794659,102.54,102.66,102.008
03/15/2022,102.62,1515906,103.06,103.10,102.59
03/14/2022,102.55,2065740,102.97,103.005,102.55
03/11/2022,103.41,1088087,103.58,103.63,103.3708
03/10/2022,103.57,2344532,103.61,103.61,103.45
03/09/2022,103.79,1469977,103.81,103.94,103.72
03/08/2022,103.97,1958648,103.95,104.025,103.86
03/07/2022,104.26,1315009,104.31,104.495,104.26
03/04/2022,104.66,1628397,104.64,104.895,104.62
03/03/2022,104.28,2110950,104.07,104.32,103.985
03/02/2022,103.88,2250769,104.57,104.59,103.87
03/01/2022,104.95,1430795,104.76,105.20,104.76
02/28/2022,104.54,1667763,104.35,104.68,104.26
02/25/2022,103.97,1182882,103.75,103.97,103.74
02/24/2022,103.81,2130190,104.04,104.04,103.715
02/23/2022,103.60,1522619,103.72,103.785,103.60
02/22/2022,103.94,2967687,104.01,104.045,103.82
02/18/2022,104.08,1225784,104.06,104.16,104.04
02/17/2022,104.05,2037973,103.90,104.13,103.90
02/16/2022,103.86,1259494,103.90,103.98,103.72
02/15/2022,103.83,1318704,103.83,103.927,103.76
02/14/2022,103.85,2741154,103.92,104.00,103.7479
02/11/2022,104.28,3476293,104.17,104.3692,103.7307
02/10/2022,103.80,5559462,104.26,104.33,103.77
02/09/2022,104.70,7199024,104.88,104.919,104.70
02/08/2022,104.86,3054548,104.926,104.95,104.75
02/07/2022,105.12,1627963,105.08,105.17,104.974
02/04/2022,105.01,2279801,105.14,105.1799,104.945
02/03/2022,105.59,3094273,105.54,105.62,105.4376
02/02/2022,105.79,3006822,105.78,105.92,105.78
02/01/2022,105.70,3292865,105.69,105.77,105.62
01/31/2022,105.93,2590195,105.81,105.98,105.74
01/28/2022,105.88,3812189,105.52,105.88,105.52
01/27/2022,105.63,1935215,105.54,105.7599,105.525
01/26/2022,105.38,1711405,105.99,106.00,105.3701
01/25/2022,105.94,1289826,105.97,106.0499,105.87
01/24/2022,105.94,2530781,105.93,106.06,105.85
01/21/2022,105.84,1296014,105.97,105.97,105.83
01/20/2022,105.73,1386871,105.78,105.79,105.66
01/19/2022,105.63,1715540,105.533,105.77,105.50
01/18/2022,105.28,3409705,105.62,105.64,104.81
01/14/2022,105.88,1791564,106.14,106.19,105.88
01/13/2022,106.24,1763301,106.23,106.27,106.12
01/12/2022,106.29,2954642,106.40,106.415,106.26
01/11/2022,106.37,1451759,106.03,106.37,105.95
01/10/2022,106.14,2332573,106.0382,106.22,105.9701
01/07/2022,106.29,2003348,106.46,106.47,106.17
01/06/2022,106.60,2710327,106.64,106.665,106.545
01/05/2022,106.74,2231155,106.99,107.0598,106.74
01/04/2022,107.06,1449331,107.01,107.07,106.92
01/03/2022,107.00,2352205,107.28,107.28,107.00
12/31/2021,107.43,1554425,107.36,107.50,107.36
12/30/2021,107.36,959885,107.36,107.37,107.2827
12/29/2021,107.32,1239384,107.46,107.4899,107.31
12/28/2021,107.51,1009839,107.51,107.5567,107.49
12/27/2021,107.43,1063365,107.38,107.4786,107.34
12/23/2021,107.39,1179914,107.40,107.43,107.32
12/22/2021,107.40,969760,107.42,107.45,107.36
12/21/2021,107.38,2113933,107.41,107.4499,107.3401
12/20/2021,107.53,1038761,107.55,107.65,107.51
12/17/2021,107.55,1410118,107.62,107.73,107.53
12/16/2021,107.57,1978915,107.37,107.65,107.37
12/15/2021,107.35,1495444,107.37,107.42,107.25
12/14/2021,107.43,1395993,107.42,107.47,107.38
12/13/2021,107.48,1623454,107.38,107.54,107.38
12/10/2021,107.36,1466013,107.32,107.507,107.3147
12/09/2021,107.36,1675747,107.53,107.53,107.325
12/08/2021,107.37,2321985,107.44,107.44,107.30
12/07/2021,107.40,1703588,107.435,107.4896,107.38
12/06/2021,107.58,1131175,107.582,107.60,107.465
12/03/2021,107.63,1898666,107.46,107.67,107.3805
12/02/2021,107.51,1602978,107.53,107.59,107.42
12/01/2021,107.59,2876894,107.43,107.595,107.36
11/30/2021,107.57,1386981,107.73,107.88,107.52
11/29/2021,107.60,1263864,107.39,107.60,107.355
11/26/2021,107.53,670297,107.26,107.57,107.26
11/24/2021,107.03,1743527,107.03,107.05,106.95
11/23/2021,107.05,1670525,107.25,107.28,107.05
11/22/2021,107.30,1402318,107.41,107.435,107.29
11/19/2021,107.61,1043999,107.70,107.7598,107.58
11/18/2021,107.59,827768,107.494,107.59,107.45
11/17/2021,107.54,2916421,107.376,107.56,107.35
11/16/2021,107.42,981827,107.399,107.47,107.3709
11/15/2021,107.37,1252769,107.50,107.503,107.37
11/12/2021,107.51,1184531,107.59,107.6477,107.44
11/11/2021,107.53,615841,107.59,107.6294,107.52
11/10/2021,107.55,1898913,107.92,107.92,107.55
11/09/2021,108.06,1550239,108.18,108.18,108.04
11/08/2021,108.00,1057240,108.06,108.06,107.98
11/05/2021,108.13,2278368,107.944,108.15,107.90
11/04/2021,107.89,4271820,107.92,108.06,107.89
11/03/2021,107.81,1450823,107.94,107.94,107.725
11/02/2021,107.94,1021511,107.98,108.03,107.89
11/01/2021,107.86,1095943,107.74,107.90,107.71
10/29/2021,107.83,1829429,107.62,107.87,107.59
10/28/2021,107.81,899005,107.874,108.00,107.81
10/27/2021,107.96,1312735,107.88,107.98,107.755
10/26/2021,107.80,1834899,107.68,107.80,107.67
10/25/2021,107.73,917724,107.64,107.73,107.6175
10/22/2021,107.65,1349574,107.58,107.65,107.50
